AGS,GEN,treatment,treated_0,treated_10,treated_20,treated_30,treated_50,treated_100
16075002,Birkenhügel,30,0,0,0,1,1,1
16071055,Mechelroda,50,0,0,0,0,1,1
16075049,Knau,20,0,0,1,1,1,1
09476166,Reichenbach,10,0,1,1,1,1,1
16071015,Eberstedt,30,0,0,0,1,1,1
16067003,Ballstädt,100,0,0,0,0,0,1
16073077,Saalfeld/Saale,30,0,0,0,1,1,1
16071008,Blankenhain,30,0,0,0,1,1,1
16071089,Umpferstedt,50,0,0,0,0,1,1
16075076,Oettersdorf,50,0,0,0,0,1,1
08336105,Grenzach-Wyhlen,None,0,0,0,0,0,0
08336050,Lörrach,None,0,0,0,0,0,0
08336091,Weil am Rhein,None,0,0,0,0,0,0
07334021,Neuburg am Rhein,100,0,0,0,0,0,1
07334002,Berg (Pfalz),100,0,0,0,0,0,1
07340221,Riedelberg,None,0,0,0,0,0,0
07340218,Mauschbach,None,0,0,0,0,0,0
08415062,Riederich,None,0,0,0,0,0,0
08118028,Hessigheim,30,0,0,0,1,1,1
08116012,Bissingen an der Teck,None,0,0,0,0,0,0
08121000,Heilbronn,0,1,1,1,1,1,1
08415060,Pliezhausen,None,0,0,0,0,0,0
08116033,Kirchheim unter Teck,None,0,0,0,0,0,0
08425088,Oberdischingen,None,0,0,0,0,0,0
08117058,Wiesensteig,None,0,0,0,0,0,0
08118016,Freudental,30,0,0,0,1,1,1
07337061,Offenbach an der Queich,50,0,0,0,0,1,1
08215029,Hambrücken,20,0,0,1,1,1,1
08325001,Aichhalden,None,0,0,0,0,0,0
07337044,Insheim,50,0,0,0,0,1,1
08417052,Ratshausen,None,0,0,0,0,0,0
08231000,Pforzheim,100,0,0,0,0,0,1
08235018,Dobel,100,0,0,0,0,0,1
08226041,Leimen,30,0,0,0,1,1,1
08235073,Unterreichenbach,100,0,0,0,0,0,1
08417044,Meßstetten,None,0,0,0,0,0,0
08115052,Weissach,100,0,0,0,0,0,1
07340002,Busenberg,100,0,0,0,0,0,1
07334011,Hördt,20,0,0,1,1,1,1
