,# BBPlG 2013,Start,Start_address,Start_geometry,End,End_address,End_geometry,New,Retro,Int_start,Int_end,Short
10,7,Umspannwerk Sottrum,"Umspannwerk Sottrum, 1-9, Bremer Straße, Sottrum, Samtgemeinde Sottrum, Landkreis Rotenburg (Wümme), Niedersachsen, 27367, Deutschland",POINT (9.250423696835764 53.1150158),Wechold,"Wechold, Hilgermissen, Samtgemeinde Grafschaft Hoya, Landkreis Nienburg/Weser, Niedersachsen, Deutschland",POINT (9.1263681 52.8480963),,1.0,,,
11,7,Wechold,"Wechold, Hilgermissen, Samtgemeinde Grafschaft Hoya, Landkreis Nienburg/Weser, Niedersachsen, Deutschland",POINT (9.1263681 52.8480963),Landesbergen,"Landesbergen, Samtgemeinde Mittelweser, Landkreis Nienburg/Weser, Niedersachsen, 31628, Deutschland",POINT (9.1238142 52.5610203),,1.0,,,
12,8,Süderdonn,"Süderdonn, Sankt Michaelisdonn, Burg-Sankt Michaelisdonn, Dithmarschen, Schleswig-Holstein, 25693, Deutschland",POINT (9.1169356 53.97502),Heide Dithmarschen,"Heide, Dithmarschen, Schleswig-Holstein, 25746, Deutschland",POINT (9.0929015 54.1948456),1.0,,,,
13,8,Brunsbüttel,"Brunsbüttel, Dithmarschen, Schleswig-Holstein, Deutschland",POINT (9.1395423 53.8972549),Süderdonn,"Süderdonn, Sankt Michaelisdonn, Burg-Sankt Michaelisdonn, Dithmarschen, Schleswig-Holstein, 25693, Deutschland",POINT (9.1169356 53.97502),1.0,,,,
14,8,Heide Dithmarschen,"Heide, Dithmarschen, Schleswig-Holstein, 25746, Deutschland",POINT (9.0929015 54.1948456),Husum,"Husum, Nordfriesland, Schleswig-Holstein, 25813, Deutschland",POINT (9.0538156 54.4853638),1.0,,,,
15,8,Husum,"Husum, Nordfriesland, Schleswig-Holstein, 25813, Deutschland",POINT (9.0538156 54.4853638),Niebüll,"Niebüll, Südtondern, Nordfriesland, Schleswig-Holstein, 25899, Deutschland",POINT (8.8258359 54.7868097),1.0,,,,
16,8,Niebüll,"Niebüll, Südtondern, Nordfriesland, Schleswig-Holstein, 25899, Deutschland",POINT (8.8258359 54.7868097),Aventoft,"Aventoft, Südtondern, Nordfriesland, Schleswig-Holstein, Deutschland",POINT (8.81667 54.9),1.0,,,,
17,9,Hamm-Uentrop,"Hamm-Uentrop, Geithenkamp, Geithe, Hamm, Nordrhein-Westfalen, 59071, Deutschland",POINT (7.9206953 51.6892635),Kruckel,"Kruckel, Hombruch, Dortmund, Nordrhein-Westfalen, 44227, Deutschland",POINT (7.415399768622057 51.45458405),,1.0,,,
18,10,Wolmirstedt,"Wolmirstedt, Börde, Sachsen-Anhalt, Deutschland",POINT (11.6267388 52.2484924),Helmstedt,"Helmstedt, Landkreis Helmstedt, Niedersachsen, 38350, Deutschland",POINT (11.0104702 52.2277037),,1.0,,,
19,10,Helmstedt,"Helmstedt, Landkreis Helmstedt, Niedersachsen, 38350, Deutschland",POINT (11.0104702 52.2277037),Wahle Vechelde,"Wahle, Vechelde, Landkreis Peine, Niedersachsen, 38159, Deutschland",POINT (10.3634402 52.2717618),,1.0,,,
20,11,Bertikow,"Bertikow, Uckerfelde, Gramzow, Uckermark, Brandenburg, Deutschland",POINT (13.933023545115766 53.2442165),Pasewalk,"Pasewalk, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17309, Deutschland",POINT (13.9889049 53.5053677),,1.0,,,
21,12,Vieselbach,"Vieselbach, Erfurt, Thüringen, Deutschland",POINT (11.14690662869396 50.9954483),Eisenach,"Eisenach, Wartburgkreis, Thüringen, 99817, Deutschland",POINT (10.3193565 50.9747134),,1.0,,,
22,12,Eisenach,"Eisenach, Wartburgkreis, Thüringen, 99817, Deutschland",POINT (10.3193565 50.9747134),Mecklar,"Mecklar, Ludwigsau, Landkreis Hersfeld-Rotenburg, Hessen, 36251, Deutschland",POINT (9.7612468 50.9174645),,1.0,,,
23,13,Industriestandort Böhlen-Lippendorf,"Industriestandort Böhlen-Lippendorf, Neukieritzsch, Landkreis Leipzig, Sachsen, 04564, Deutschland",POINT (12.360315142105415 51.1888025),Vieselbach,"Vieselbach, Erfurt, Thüringen, Deutschland",POINT (11.14690662869396 50.9954483),,1.0,,,
24,14,Röhrsdorf,"Röhrsdorf, Chemnitz, Sachsen, 09247, Deutschland",POINT (12.8453055 50.8635926),Remptendorf,"Remptendorf, Saale-Orla-Kreis, Thüringen, 07368, Deutschland",POINT (11.6595527 50.5290352),,1.0,,,
25,15,Metternich,"Metternich, Koblenz, Rheinland-Pfalz, Deutschland",POINT (7.5567378 50.3659761),Niederstedem,"Niederstedem, Bitburger Land, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, Deutschland",POINT (6.4986224 49.9302779),,1.0,,,
