AGS,year,Land,post_2010,post_2014,Union,SPD,Grüne,FDP,Linke,Andere
09189126,2013,BY,1,0,58.744993324432585,13.484646194926569,12.416555407209612,0.9345794392523363,0.6675567423230975,13.885180240320427
09189126,2018,BY,1,1,42.80860702151755,7.021517553793885,19.25254813137033,2.944507361268403,3.057757644394111,25.028312570781424
09189127,2008,BY,0,0,45.354838709677416,9.612903225806452,24.70967741935484,2.967741935483871,1.7419354838709675,15.67741935483871
09189127,2013,BY,1,0,57.41626794258373,12.55980861244019,9.330143540669857,1.4354066985645932,0.777511961722488,18.600478468899524
09189127,2018,BY,1,1,44.057052297939784,7.290015847860539,14.68568409931326,3.1167459059693607,1.9017432646592711,29.05441098784997
09189129,2008,BY,0,0,39.15881073241479,17.258883248730964,16.02610587382161,7.324147933284989,4.858593183466279,15.373459028281363
09189129,2013,BY,1,0,50.75757575757576,16.28787878787879,12.121212121212121,3.2196969696969697,2.083333333333333,15.656565656565657
09189129,2018,BY,1,1,35.17989720159909,7.938320959451742,23.072529982866932,4.568817818389491,3.083952027412907,26.270702455739574
09189130,2008,BY,0,0,39.38325991189428,13.215859030837004,20.0,6.960352422907488,4.052863436123348,16.56387665198238
09189130,2013,BY,1,0,51.747720364741646,15.121580547112462,14.817629179331307,2.507598784194529,1.1398176291793314,14.817629179331307
09189130,2018,BY,1,1,36.89126084056038,7.605070046697798,21.681120747164776,3.8692461641094065,1.801200800533689,28.285523682454972
09189133,2008,BY,0,0,48.09075816270061,9.684560044272276,16.048699501936913,6.972883231876037,3.7631433314886555,15.49529607083564
09189133,2013,BY,1,0,60.18035121025154,11.960132890365449,9.539629805410536,1.613668723303275,1.044138585666825,15.70953962980541
09189133,2018,BY,1,1,41.88034188034188,5.1689051689051695,16.402116402116402,4.151404151404151,2.238502238502239,30.24013024013024
09189134,2008,BY,0,0,49.12621359223301,9.385113268608414,16.50485436893204,4.271844660194175,1.6181229773462782,19.158576051779935
09189134,2013,BY,1,0,62.5414364640884,10.386740331491714,9.558011049723756,1.6574585635359116,0.9944751381215469,14.917127071823206
09189134,2018,BY,1,1,46.1010299166258,5.247670426679745,13.683178028445317,3.3840117704757233,1.8636586562040216,29.769494850416873
09189135,2008,BY,0,0,47.81834372217275,4.986642920747997,22.974176313446126,6.055209260908281,1.068566340160285,17.186108637577917
09189135,2013,BY,1,0,62.71324126726239,8.935824532900082,8.610885458976442,0.8935824532900082,0.4061738424045491,18.521527213647442
09189135,2018,BY,1,1,48.18941504178273,4.03899721448468,15.459610027855152,3.2729805013927575,1.2534818941504178,27.924791086350975
09189137,2008,BY,0,0,58.93300248138957,7.444168734491314,10.173697270471465,5.583126550868486,2.109181141439206,15.88089330024814
09189137,2013,BY,1,0,63.33687566418703,7.332624867162593,8.820403825717323,1.381509032943677,1.2752391073326248,17.959617428267798
